Hi.	สวัสดี
Who wrote this?	ใครเป็นคนเขียนเรื่องนี้?
Why do you ask?	คุณถามทำไม?
Why is Tom wet?	ทำไมทอมถึงเปียก?
Wipe your eyes.	เช็ดตาของคุณ
Yes, I know it.	ใช่ฉันรู้
Are these yours?	พวกนี้เป็นของคุณหรือไม่?
Are you married?	คุณแต่งงานแล้วหรือยัง
Are you wounded?	คุณบาดเจ็บหรือเปล่า
Black suits you.	ชุดสีดำเหมาะกับคุณ
Call my husband.	โทรหาสามีของฉัน
Call the police!	โทรหาตำรวจ!
Can I keep this?	ฉันจะเก็บสิ่งนี้ไว้ได้ไหม?
Can you hear us?	คุณได้ยินเราไหม?
Can you show me?	แสดงให้ฉันดูได้ไหม?
Close your book.	ปิดหนังสือของคุณ
Congratulations!	ขอแสดงความยินดี!
Did anyone call?	มีใครโทรมาไหม
Did you like it?	คุณชอบมันไหม?
Do you love her?	คุณรักเธอไหม?
Do you miss Tom?	คุณคิดถึงทอมไหม?
Do you remember?	คุณจำได้ไหม?
Does this count?	อย่างนี้นับไหม?
Don't overdo it.	อย่าหักโหมจนเกินไป
Drive carefully.	ขับรถอย่างระมัดระวัง
Enjoy your food.	เพลิดเพลินกับอาหารของคุณ
Everyone's dead.	ทุกคนตายไปแล้ว
Go to the store.	ไปที่ร้าน
Green suits you.	สีเชียวเหมาะสมกับคุณ
He began to run.	เขาเริ่มวิ่ง
He has a camera.	เขามีกล้อง
He is a painter.	เขาเป็นจิตรกร
He likes tigers.	เขาชอบเสือ
He loves coffee.	เขารักกาแฟ
Help me, please.	โปรดช่วยฉันด้วย
How do we do it?	เราจะทำมันอย่างไร?
How old are you?	คุณอายุเท่าไหร่?
I am busy today.	วันนี้ฉันยุ่ง
I bought a book.	ฉันซื้อหนังสือ
I escaped death.	ฉันรอดพ้นจากความตาย
I escaped death.	ฉันหนีความตาย
I get up at six.	ฉันตื่นตอนหกโมง
I have to sleep.	ฉันต้องนอน
I hope Tom wins.	ฉันหวังว่าทอมจะชนะ
I just got home.	ฉันเพิ่งกลับมาถึงบ้าน
I like to laugh.	ฉันชอบหัวเราะ
I love weddings.	ฉันรักงานแต่งงาน
I made that one.	ฉันทำอันนั้น
I need a laptop.	ฉันต้องการแล็ปท็อป
I need the keys.	ฉันต้องการกุญแจ
I prefer coffee.	ฉันชอบกาแฟมากกว่า
I see a pattern.	ฉันเห็นรูปแบบ
I want this one.	ฉันต้องการอันนี้
I want this one.	ฉันอยากได้อันนี้
I was a teacher.	ฉันเป็นครู
I work at a bar.	ฉันทำงานที่บาร์
I'll follow you.	ฉันจะติดตามคุณ
I'll remind you.	ผมจะเตือนคุณ
I'll sleep here.	ฉันจะนอนที่นี่
I'm a bit tired.	ฉันเหนื่อยนิดหน่อย
I'm a good cook.	ฉันเป็นพ่อครัวที่ดี
I'm eating here.	ฉันกินข้าวที่นี่
I'm going to go.	ฉันกำลังจะไป
I'm leaving now.	ฉันจะไปแล้ว
I'm not a robot.	ฉันไม่ใช่หุ่นยนต์
I'm not sulking.	ฉันไม่ได้ร้องไห้
I'm watching TV.	ฉันกำลังดูทีวี
Is it near here?	มันอยู่ใกล้ที่นี่หรือเปล่า
Is that boy Tom?	ทอมคือผู้ชายคนนั้นเหรอ?
Is this a river?	นี่คือแม่น้ำใช่ไหม
It is up to you.	มันขึ้นอยู่กับคุณ
It's an antique.	มันเป็นของโบราณ
It's artificial.	มันเป็นของเทียม
It's impossible.	มันเป็นไปไม่ได้
It's not Monday.	มันไม่ใช่วันจันทร์
It's not a fish.	มันไม่ใช่ปลา
It's not enough.	มันไม่พอ
It's too bright.	มันสว่างเกินไป
Leave a message.	ฝากข้อความไว้
Let me help you.	ให้ฉันช่วยคุณ
Let's try again.	ลองอีกครั้ง
Merry Christmas!	สุขสันต์วันคริสต์มาส!
Open the window.	เปิดหน้าต่าง
Remove your hat.	ถอดหมวกของคุณ
She is too weak.	เธออ่อนแอเกินไป
She looks young.	เธอดูเด็ก
She's on a diet.	เธอกำลังลดน้ำหนัก
Spanish is easy.	ภาษาสเปนง่าย
Stop doing that.	หยุดทำสิ่งนั้น
That won't work!	นั่นจะไม่ทำงาน!
That's a pencil.	นั่นคือดินสอ
That's about it.	นั่นคือทั้งหมด
That's too long.	นั่นยาวเกินไป
That's too long.	นั่นนานเกินไป
That's too much.	นั่นมากเกินไป
The car is blue.	รถมีสีน้ำเงิน
The dog is dead.	สุนัขตายแล้ว
The dog is dead.	หมาตายแล้ว
The sun has set.	พระอาทิตย์ตกดินแล้ว
The taxi's here.	แท็กซี่มาแล้ว
They are actors.	พวกเขาเป็นนักแสดง
They feared you.	พวกเขากลัวคุณ
They're outside.	พวกเขาอยู่ข้างนอก
This is for Tom.	นี่สำหรับทอม
Tom didn't know.	ทอมไม่รู้
Tom drinks beer.	ทอมดื่มเบียร์
Tom had a knife.	ทอมมีมีด
Tom is a writer.	ทอมเป็นนักเขียน
Tom is laughing.	ทอมหัวเรา
Tom snores, too.	ทอมกรนด้วยเช่นกัน
Tom trusts Mary.	ทอมไว้วางใจแมรี่
Tom wants money.	ทอมต้องการเงิน
Tom was furious.	ทอมโกรธ
Tom's different.	ทอมแตกต่าง
We need to talk.	เรามีเรื่องต้องคุยกัน
We should party.	พวกเราควรปาตี้กัน
We want it back.	เราต้องการมันกลับ
We want to know.	เราอยากรู้
We're Canadians.	พวกเราคือชาวแคนาดา
We're gardeners.	พวกเราเป็นชาวสวน
We're prisoners.	เราเป็นนักโทษ
What is it like?	มันเป็นอย่างไร?
What time is it?	ตอนนี้เวลากี่โมง?
What's Tom like?	ทอมเป็นคนอย่างไร?
What's going on?	เกิดอะไรขึ้น?
What's your job?	คุณทำอาชีพอะไร?
When can we eat?	เรากินได้เมื่อไหร่
Who called them?	ใครเรียกพวกเขา?
Who teaches you?	ใครสอนคุณ?
Write something.	เขียนอะไรบางอย่าง
You know better.	คุณรู้ดีกว่า
You look strong.	คุณดูแข็งแรง
You look stupid.	คุณดูโง่
You must be Tom.	คุณต้องเป็นทอม
You promised me.	คุณสัญญากับผมแล้ว
You'll get lost.	คุณจะหลงทาง
You're an idiot.	คุณเป็นคนโง่
You're my woman.	คุณคือผู้หญิงของฉัน
A girl phoned me.	หญิงสาวโทรมาหาฉัน
Are we safe here?	ที่นี่เราปลอดภัยไหม
Aren't you tired?	คุณไม่เหนื่อยเหรอ?
Birds have wings.	นกมีปีก
Call me tomorrow.	โทรหาฉันพรุ่งนี้
Can I have a hug?	ขอกอดได้ไหม?
Can you see them?	คุณมองเห็นพวกเขามั้ย?
Come sit with us.	มานั่งกับเราสิ
Did you love Tom?	คุณรักทอมไหม?
Do you have kids?	คุณมีลูกไหม
Do you live here?	คุณอาศัยอยู่ที่นี่หรือไม่?
Don't ask me why.	อย่าถามฉันว่าทำไม
Don't leave town.	อย่าออกจากเมือง
Don't provoke me.	อย่ายั่วยุฉัน
Don't talk to me.	อย่าคุยกับฉัน
Everybody danced.	ทุกคนเต้น
Everybody laughs.	ทุกคนหัวเราะ
Everybody waited.	ทุกคนรอ
Everyone changes.	ทุกคนเปลี่ยนแปลง
He behaved badly.	เขาประพฤติตัวไม่ดี
He has a Picasso.	เขามีปิกัสโซ
He has long legs.	เขามีขายาว
Her name is Mary.	เธอชื่อมาเรีย
I am from Russia.	ฉันมาจากรัสเซีย
I believe in you.	ฉันเชื่อในตัวคุณ
I called in sick.	ผมโทรหาคนไข้
I don't know yet.	ฉันยังไม่รู้เลย
I don't know you.	ฉันไม่รู้จักคุณ
I don't like her.	ฉันไม่ชอบเธอ
I don't like tea.	ฉันไม่ชอบชา
I hate chemistry.	ฉันเกลียดเคมี
